Query_ID,N_Value,M_Value,Iteration_Number,Success_Probability,Confidence_Threshold,Stopping_Iteration,Stopped
Q0078,500,7,2,0.3123,0.9,5,No
Q0078,500,7,3,0.5447,0.9,5,No
Q0078,500,7,4,0.7673,0.9,5,No
Q0078,500,7,5,0.9308,0.9,5,Yes
Q0079,500,4,1,0.0705,0.9,7,No
Q0079,500,4,2,0.1875,0.9,7,No
Q0079,500,4,3,0.3442,0.9,7,No
Q0079,500,4,4,0.5207,0.9,7,No
Q0079,500,4,5,0.6945,0.9,7,No
Q0079,500,4,6,0.8437,0.9,7,No
Q0079,500,4,7,0.9492,0.9,7,Yes
Q0080,500,20,1,0.3226,0.9,3,No
Q0080,500,20,2,0.7142,0.9,3,No
Q0080,500,20,3,0.9742,0.9,3,Yes
Q0081,500,11,1,0.1866,0.9,4,No
Q0081,500,11,2,0.459,0.9,4,No
Q0081,500,11,3,0.7456,0.9,4,No
Q0081,500,11,4,0.9476,0.9,4,Yes
Q0082,500,10,1,0.1705,0.9,4,No
Q0082,500,10,2,0.4244,0.9,4,No
Q0082,500,10,3,0.7019,0.9,4,No
Q0082,500,10,4,0.9162,0.9,4,Yes
Q0083,500,2,1,0.0356,0.9,10,No
Q0083,500,2,2,0.0968,0.9,10,No
Q0083,500,2,3,0.1838,0.9,10,No
Q0083,500,2,4,0.2908,0.9,10,No
Q0083,500,2,5,0.4112,0.9,10,No
Q0083,500,2,6,0.5373,0.9,10,No
Q0083,500,2,7,0.661,0.9,10,No
Q0083,500,2,8,0.7744,0.9,10,No
Q0083,500,2,9,0.8704,0.9,10,No
Q0083,500,2,10,0.9427,0.9,10,Yes
Q0084,500,3,1,0.0531,0.9,8,No
Q0084,500,3,2,0.1429,0.9,8,No
Q0084,500,3,3,0.2668,0.9,8,No
Q0084,500,3,4,0.4129,0.9,8,No
Q0084,500,3,5,0.5673,0.9,8,No
Q0084,500,3,6,0.7153,0.9,8,No
Q0084,500,3,7,0.8428,0.9,8,No
Q0084,500,3,8,0.9375,0.9,8,Yes
Q0085,500,7,1,0.1213,0.9,5,No
Q0085,500,7,2,0.3123,0.9,5,No
Q0085,500,7,3,0.5447,0.9,5,No
Q0085,500,7,4,0.7673,0.9,5,No
Q0085,500,7,5,0.9308,0.9,5,Yes
Q0086,500,8,1,0.1379,0.9,5,No
Q0086,500,8,2,0.3511,0.9,5,No
Q0086,500,8,3,0.6017,0.9,5,No
Q0086,500,8,4,0.8267,0.9,5,No
Q0086,500,8,5,0.9695,0.9,5,Yes
Q0087,500,6,1,0.1046,0.9,6,No
Q0087,500,6,2,0.2722,0.9,6,No
Q0087,500,6,3,0.483,0.9,6,No
Q0087,500,6,4,0.697,0.9,6,No
Q0087,500,6,5,0.8737,0.9,6,No
Q0087,500,6,6,0.9794,0.9,6,Yes
Q0088,500,9,1,0.1543,0.9,5,No
Q0088,500,9,2,0.3884,0.9,5,No
Q0088,500,9,3,0.654,0.9,5,No
Q0088,500,9,4,0.8761,0.9,5,No
Q0088,500,9,5,0.9918,0.9,5,Yes
Q0089,500,4,1,0.0705,0.9,7,No
Q0089,500,4,2,0.1875,0.9,7,No
Q0089,500,4,3,0.3442,0.9,7,No
Q0089,500,4,4,0.5207,0.9,7,No
Q0089,500,4,5,0.6945,0.9,7,No
Q0089,500,4,6,0.8437,0.9,7,No
Q0089,500,4,7,0.9492,0.9,7,Yes
Q0090,500,5,1,0.0876,0.9,6,No
Q0090,500,5,2,0.2306,0.9,6,No
Q0090,500,5,3,0.4162,0.9,6,No
Q0090,500,5,4,0.6151,0.9,6,No
Q0090,500,5,5,0.7957,0.9,6,No
Q0090,500,5,6,0.9296,0.9,6,Yes
Q0091,500,5,1,0.0876,0.9,6,No
Q0091,500,5,2,0.2306,0.9,6,No
Q0091,500,5,3,0.4162,0.9,6,No
Q0091,500,5,4,0.6151,0.9,6,No
Q0091,500,5,5,0.7957,0.9,6,No
Q0091,500,5,6,0.9296,0.9,6,Yes
Q0092,500,9,1,0.1543,0.9,5,No
Q0092,500,9,2,0.3884,0.9,5,No
Q0092,500,9,3,0.654,0.9,5,No
Q0092,500,9,4,0.8761,0.9,5,No
Q0092,500,9,5,0.9918,0.9,5,Yes
Q0093,500,8,1,0.1379,0.9,5,No
Q0093,500,8,2,0.3511,0.9,5,No
Q0093,500,8,3,0.6017,0.9,5,No
Q0093,500,8,4,0.8267,0.9,5,No
Q0093,500,8,5,0.9695,0.9,5,Yes
Q0094,500,3,1,0.0531,0.9,8,No
Q0094,500,3,2,0.1429,0.9,8,No
Q0094,500,3,3,0.2668,0.9,8,No
Q0094,500,3,4,0.4129,0.9,8,No
Q0094,500,3,5,0.5673,0.9,8,No
Q0094,500,3,6,0.7153,0.9,8,No
Q0094,500,3,7,0.8428,0.9,8,No
Q0094,500,3,8,0.9375,0.9,8,Yes
Q0095,500,4,1,0.0705,0.9,7,No
Q0095,500,4,2,0.1875,0.9,7,No
Q0095,500,4,3,0.3442,0.9,7,No
Q0095,500,4,4,0.5207,0.9,7,No
Q0095,500,4,5,0.6945,0.9,7,No
Q0095,500,4,6,0.8437,0.9,7,No
Q0095,500,4,7,0.9492,0.9,7,Yes
Q0096,500,8,1,0.1379,0.9,5,No
Q0096,500,8,2,0.3511,0.9,5,No
Q0096,500,8,3,0.6017,0.9,5,No
Q0096,500,8,4,0.8267,0.9,5,No
Q0096,500,8,5,0.9695,0.9,5,Yes
Q0097,500,3,1,0.0531,0.9,8,No
Q0097,500,3,2,0.1429,0.9,8,No
Q0097,500,3,3,0.2668,0.9,8,No
Q0097,500,3,4,0.4129,0.9,8,No
Q0097,500,3,5,0.5673,0.9,8,No
Q0097,500,3,6,0.7153,0.9,8,No
Q0097,500,3,7,0.8428,0.9,8,No
Q0097,500,3,8,0.9375,0.9,8,Yes
Q0098,500,8,1,0.1379,0.9,5,No
Q0098,500,8,2,0.3511,0.9,5,No
Q0098,500,8,3,0.6017,0.9,5,No
Q0098,500,8,4,0.8267,0.9,5,No
Q0098,500,8,5,0.9695,0.9,5,Yes
Q0099,500,11,1,0.1866,0.9,4,No
Q0099,500,11,2,0.459,0.9,4,No
Q0099,500,11,3,0.7456,0.9,4,No
Q0099,500,11,4,0.9476,0.9,4,Yes
Q0100,500,4,1,0.0705,0.9,7,No
